|    | 証券コード | 会社名                                 |
|----|------------|----------------------------------------|
| 1  | 7203       | トヨタ自動車(株)                       |
| 2  | 8306       | (株)三菱ＵＦＪフィナンシャル・グループ |
| 3  | 9984       | ソフトバンクグループ(株)               |
| 4  | 285A       | キオクシアホールディングス(株)         |
| 5  | 8316       | (株)三井住友フィナンシャルグループ     |
| 6  | 6098       | (株)リクルートホールディングス         |
| 7  | 6501       | (株)日立製作所                         |
| 8  | 8035       | 東京エレクトロン(株)                   |
| 9  | 6857       | (株)アドバンテスト                     |
| 10 | 6758       | ソニーグループ(株)                     |
| 11 | 9983       | (株)ファーストリテイリング             |
| 12 | 8411       | (株)みずほフィナンシャルグループ       |
| 13 | 6861       | (株)キーエンス                         |
| 14 | 8001       | 伊藤忠商事(株)                         |
| 15 | 8058       | 三菱商事(株)                           |
